GforgeID, FileName, FileSize, FileSize, AddDate, AddedBy, Description
26427, 26427_Tomcat_logs.txt, 163724, text/plain, 02/09/2010 16:59:41, raoa, Tomcat logs
26429, LVcaAERSHotlinkIssue.doc, 268288, application/msword, 02/09/2010 18:22:42, raoa, screenshots document
26429, labviewer_caaers_hotlink_defect.zip, 267321, application/x-zip-compressed, 12/13/2010 14:59:06, bkatz, package of logs / html source / screenshots - BRK
26439, C3PR_RegistrarAccess.jpg, 160662, image/jpeg, 02/10/2010 20:07:57, raoa, Screenshot
26439, 26439-registrar-role-c3pr-access.JPG, 85451, image/pjpeg, 01/03/2011 22:19:00, youngs, 26439-registrar-role-c3pr-access
26448, SiteCoordIssue.jpg, 239037, image/jpeg, 02/11/2010 12:40:51, raoa, Screenshot
26448, 26448_Stacktrace.txt, 25130, text/plain, 02/11/2010 12:42:33, raoa, Stacktrace
26448, 26448_PSC_Version.jpg, 126693, image/jpeg, 02/17/2010 12:20:51, raoa, PSC_Version
26450, C3PR_AmendStudyIssue.jpg, 147462, image/jpeg, 02/11/2010 14:23:51, raoa, Screenshot
26879, C3PRDashboardStacktrace.JPG, 245967, image/jpeg, 03/04/2010 20:06:43, raoa, Screenshot
26879, C3PRDashboardStacktrace.log, 8748, application/octet-stream, 03/04/2010 20:07:12, raoa, Dashboard Stacktrace
26879, CTRPserver.log, 122024, application/octet-stream, 03/04/2010 20:07:35, raoa, CTRP log
26879, Servicemix.log, 16772, application/octet-stream, 03/04/2010 20:07:56, raoa, servicemix log
26879, Tomcat.log, 7569, application/octet-stream, 03/04/2010 20:08:15, raoa, Tomcat log
26893, Screenshot_org.JPG, 74282, image/jpeg, 03/05/2010 15:28:57, raoa, Screenshot_org.jpg
26893, Screenshot_FN_org.JPG, 72535, image/jpeg, 03/05/2010 15:30:19, raoa, Screenshot_FN_org.jpg
26951, PSC_Studyconsumer.xml, 5986, text/xml, 03/08/2010 13:27:17, raoa, PSC StudyConsumer XML
26952, PSC_Registration.xml, 3103, text/xml, 03/08/2010 13:29:00, raoa, PSC RegisterConsumer XML
27059, Blinded_servicemix.log, 46519, application/octet-stream, 03/12/2010 12:34:44, raoa, Study broadcast failure servicemix log
27059, servicemix.log, 41014, application/octet-stream, 03/12/2010 12:35:20, raoa, Registration broadcast failure servicemix log
27237, RegistartionFailure.jpg, 334656, image/jpeg, 03/17/2010 18:31:52, raoa, Screenshot
27237, 27237_Stacktrace.log, 9941, application/octet-stream, 03/17/2010 18:33:33, raoa, Stacktrace
27237, c3pr.log, 549230, application/octet-stream, 03/18/2010 11:21:47, raoa, C3PR log
27265, LV_LoadLabs_Screenshots.doc, 148992, application/msword, 03/18/2010 12:22:51, raoa, Screenshots document
27320, servicemix.log, 353882, application/octet-stream, 03/19/2010 12:39:49, raoa, Servicemix log
27320, studycalendar-debug.log, 3363363, application/octet-stream, 03/19/2010 12:40:22, raoa, psc log
